id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus_tbc,satuan,tahun
134,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209050,Karangsembung,32.09.06,KARANGSEMBUNG,KARANGSEMBUNG,PRIA,27,ORANG,2022
135,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209051,Karangwareng,32.09.34,KARANGWARENG,KUBANGDELEG,PRIA,20,ORANG,2022
136,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,Lemahabang,32.09.07,LEMAHABANG,SINDANGLAUT,PRIA,45,ORANG,2022
137,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,Susukanlebak,32.09.08,SUSUKAN LEBAK,SUSUKANLEBAK,PRIA,50,ORANG,2022
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,Sedong,32.09.09,SEDONG,SEDONG,PRIA,93,ORANG,2022
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,ASTANAJAPURA,PRIA,34,ORANG,2022
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,SIDAMULYA,PRIA,40,ORANG,2022
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,Pangenan,32.09.11,PANGENAN,PANGENAN,PRIA,31,ORANG,2022
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,MUNDU,PRIA,19,ORANG,2022
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,PAMENGKANG,PRIA,19,ORANG,2022
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,Beber,32.09.13,BEBER,BEBER,PRIA,30,ORANG,2022
145,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,KAMARANG,PRIA,29,ORANG,2022
146,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,NANGGELA,PRIA,42,ORANG,2022
147,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,TALUN,PRIA,28,ORANG,2022
148,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,CIPERNA,PRIA,14,ORANG,2022
149,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SUMBER,PRIA,10,ORANG,2022
150,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,WATUBELAH,PRIA,17,ORANG,2022
151,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SENDANG,PRIA,5,ORANG,2022
152,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,DUKUPUNTANG,PRIA,41,ORANG,2022
153,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,SINDANGJAWA,PRIA,13,ORANG,2022
154,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,PALIMANAN,PRIA,14,ORANG,2022
155,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,KEPUH,PRIA,14,ORANG,2022
156,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,PLUMBON,PRIA,58,ORANG,2022
157,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,LURAH,PRIA,10,ORANG,2022
158,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,Depok,32.09.31,DEPOK,WARUROYOM,PRIA,42,ORANG,2022
159,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,Weru,32.09.19,WERU,KARANGSARI,PRIA,23,ORANG,2022
160,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PLERED,PRIA,45,ORANG,2022
161,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PANGKALAN,PRIA,13,ORANG,2022
162,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,Tengah Tani,32.09.35,TENGAH TANI,TENGAHTANI,PRIA,45,ORANG,2022
163,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,Kedawung,32.09.20,KEDAWUNG,KEDAWUNG,PRIA,33,ORANG,2022
164,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,GUNUNGJATI,PRIA,25,ORANG,2022
165,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,MAYUNG,PRIA,12,ORANG,2022
166,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,Kapetakan,32.09.22,KAPETAKAN,KEDATON,PRIA,36,ORANG,2022
167,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,Suranenggala,32.09.39,SURANENGGALA,SURANENGGALA,PRIA,24,ORANG,2022
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,KLANGENAN,PRIA,32,ORANG,2022
169,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,BANGODUA,PRIA,16,ORANG,2022
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,Jamblang,32.09.40,JAMBLANG,JAMBLANG,PRIA,18,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,Arjawinangun,32.09.24,ARJAWINANGUN,TEGAL GUBUG,PRIA,51,ORANG,2022
172,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,Panguragan,32.09.25,PANGURAGAN,PANGURAGAN,PRIA,26,ORANG,2022
173,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,Ciwaringin,32.09.26,CIWARINGIN,CIWARINGIN,PRIA,21,ORANG,2022
174,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,WINONG,PRIA,6,ORANG,2022
175,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,GEMPOL,PRIA,13,ORANG,2022
176,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,SUSUKAN,PRIA,21,ORANG,2022
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,BUNDER,PRIA,4,ORANG,2022
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,GEGESIK,PRIA,23,ORANG,2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,JAGAPURA,PRIA,36,ORANG,2022
